"source","radio","association","class","distance(kpc)","l(deg)","b(deg)","period(s)","pdot(1e-11s/s)","pdot_ul","Bp(e14G)","B_ul","Edot(e33erg/s)","Edot_ul","tau_c(kyr)","tauc_lowlim","tau_real(kyr)","ref_age_real","luminosity_bol_qui(e33erg/s)","lum_ul","kT_min","Err_kT_min","kT_min_ul","lumin_peak","kT_max","Err_kT_max","kT_max_ul","Unnamed: 27"
"PSRJ1741-2054","True","","RPP","0.8","","","0.414","0.0016899999999999999","","0.054000000000000006","","9.5","","386","","","","0.307406","","0.06","0.002","","","","","",""
"PSRB1822-08","True","","RPP","0.3","","","0.769","0.0052","","0.128","","4.5","","233","","","","0.00236906","","0.083","0.004","","","","","",""
"PSRB1823-13","True","","RPP","3.6","","","0.10099999999999999","0.0075","","0.056","","2800","","21.4","","","","","","0.097","0.004","","","","","",""
"PSRJ1836+5925","","Next Geminga","RPP","0.3","","","0.17300000000000001","0.00015","","0.012","","11","","1800","","","","0.00394557","","0.015","0.004","","","","","",""
"PSRB1951+32","True","CTB80","RPP","2.4","","","0.0395","0.000584","","0.056","","3700","","107","","64","SNR","","","0.13","0.02","","","","","",""
"PSRJ1957+5033","","","RPP","1.3","","","0.375","0.0007","","0.032","","5.3","","839","","","","0.00181629","","0.013","0.01","","","","","",""
"PSRJ2021+3651","True","","RPP","1.8","","","0.10400000000000001","0.0095","","0.064","","3400","","17.2","","","","","","0.063","0.06","","","","","",""
"PSRB1509-58","True","","RPP","5.2","","","0.08892","0.000915","","0.3","","510","","154","","","","","","0.142","0.009000000000000001","","","","","",""
"PSRJ0554+3107","","","RPP","","","","0.465","0.01426","","0.08199999999999999","","56","","52","","","","1.95625","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RXJ0420.0-5022","","","XDINS","0.34","258.134978","-44.385597","3.45","0.002759","","0.2","","0.025","","2000","","","","0.009000000000000001","","","","","","","","",""
"RXJ1856.5-3754","","","XDINS","0.12","358.599611","-17.21311","7.055","0.003","","0.29","","0.003","","3800","","400","PM","0.04","","","","","","","","",""
"RXJ2143.0+0654","","","XDINS","0.43","62.657328","-33.139952","9.428","0.0041","","0.4","","0.002","","3600","","","","0.07","","","","","","","","",""
"RXJ0720.4-3125","","","XDINS","0.29","244.15805","-8.164527","8.391","0.006983","","0.48","","0.0047","","1900","","800","PM","0.2","","","","","","","","",""
"RXJ0806.4-4123","","","XDINS","0.25","257.426088","-4.984389","11.37","0.0055","","0.51","","0.0016","","3300","","","","0.02","","","","","","","","",""
"RXJ1308.6+2127","","","XDINS","0.5","338.745669","83.081296","10.31","0.011","","0.68","","0.004","","1500","","1000","PM","0.14","","","","","","","","",""
"RXJ1605.3+3249","","","XDINS","0.35","52.875945","47.990468","3.39","0.16","","1.5","","1.58","","34","","500","PM","0.1","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PSRJ1903+0433","True","","LongP","","","","14.0499","","True","","","","","","","","","","","","","","","","","",""
"PSRJ0250+5854","True","","LongP","1.6","","","23.535378","0.002716","","0.52","","0.000082","","13700","","","","","","","","","","","","",""
"PSRJ0901-4046","True","","LongP","0.3","","","75.885547","0.0225","","2.6","","0.00002","","5300","","","","","","","","","","","","",""
"GLEAM-XJ162759-523504","True","","LongP","1.3","","","1091","150","True","948","True","0.0000144999999999","True","14","True","","","0.001","True","","","","","","","",""
"GPMJ1839-10","True","","LongP","5.3","","","1318","0.081","True","24","True","0.000000048","True","27035","True","","","0.01","True","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
