NAME;PSRJ;P0;P1;BINARY;PB;DIST;ASSOC;AGE;BSURF;EDOT
421;J2004+3429;J2004+3429;0.240953;2.07E-13;*;*;10.783;*;1.85E+04;7.14E+12;5.84E+35
292;J1301-6305;J1301-6305;0.184528;2.67E-13;*;*;10.717;*;1.10E+04;7.10E+12;1.68E+36
311;B1338-62;J1341-6220;0.19334;2.53E-13;*;*;12.599;SNR:G308.8-0.1[cks+92],XRS:[pb15];1.21E+04;7.08E+12;1.38E+36
2457;J2033+0042;J2033+0042;5.0134;9.69E-15;*;*;2.934;*;8.20E+06;7.05E+12;3.04E+30
2279;J1725-3848;J1725-3848;2.062386;2.30E-14;*;*;4.141;*;1.42E+06;6.97E+12;1.04E+32
859;B1758-23;J1801-2304;0.415827;1.13E-13;*;*;4;SNR:W28(?)[fkv93];5.83E+04;6.93E+12;6.20E+34
2384;J0746-4529;J0746-4529;2.791025;1.67E-14;*;*;0.81;*;2.65E+06;6.90E+12;3.03E+31
2348;B1524-39;J1527-3931;2.417605;1.91E-14;*;*;1.708;*;2.01E+06;6.87E+12;5.33E+31
1980;J1815-1910;J1815-1910;1.249924;3.63E-14;*;*;6.139;*;5.46E+05;6.82E+12;7.34E+32
2462;J1750-2043;J1750-2043;5.639047;7.95E-15;*;*;8.84;*;1.12E+07;6.78E+12;1.75E+30
773;J1838-0453;J1838-0453;0.380866;1.16E-13;*;*;6.629;*;5.19E+04;6.74E+12;8.31E+34
2467;J1226-3223;J1226-3223;6.193004;7.05E-15;*;*;2.175;*;1.39E+07;6.69E+12;1.17E+30
2394;J1354-6249;J1354-6249;2.951938;1.48E-14;*;*;5.159;*;3.16E+06;6.69E+12;2.27E+31
2241;J1840-0626;J1840-0626;1.893353;2.30E-14;*;*;5.727;*;1.30E+06;6.68E+12;1.34E+32
2388;J1803-1857;J1803-1857;2.864338;1.52E-14;*;*;10.784;*;2.99E+06;6.67E+12;2.55E+31
2346;J1032-5206;J1032-5206;2.407622;1.79E-14;*;*;2.096;*;2.13E+06;6.64E+12;5.06E+31
177;J1023-5746;J1023-5746;0.111472;3.84E-13;*;*;2.08;GRS:2FGL_J1022.7-5741[naa+12],GRS:HESS_J;4.60E+03;6.62E+12;1.09E+37
1157;J1940+2337;J1940+2337;0.546824;7.68E-14;*;*;8.468;*;1.13E+05;6.56E+12;1.85E+34
2473;J1840-1419;J1840-1419;6.597563;6.35E-15;*;*;0.721;*;1.65E+07;6.55E+12;8.73E+29
1600;J1603-5312;J1603-5312;0.839221;4.96E-14;*;*;3.113;*;2.68E+05;6.53E+12;3.31E+33
1352;B1829-08;J1832-0827;0.647326;6.39E-14;*;*;5.2;*;1.61E+05;6.51E+12;9.30E+33
1661;B1112-60;J1114-6100;0.880858;4.60E-14;*;*;5.479;*;3.03E+05;6.44E+12;2.66E+33
1510;B1822-09;J1825-0935;0.769021;5.24E-14;*;*;0.3;XRS:[pb15];2.33E+05;6.42E+12;4.54E+33
2418;J1148-5725;J1148-5725;3.559937;1.11E-14;*;*;2.063;*;5.08E+06;6.36E+12;9.71E+30
2359;J1759-1029;J1759-1029;2.512263;1.57E-14;*;*;2.239;*;2.53E+06;6.36E+12;3.92E+31
2422;J1857-1027;J1857-1027;3.687219;1.05E-14;*;*;4.046;*;5.54E+06;6.31E+12;8.31E+30
921;J0901-4624;J0901-4624;0.441995;8.75E-14;*;*;3.032;*;8.00E+04;6.29E+12;4.00E+34
1378;J1301-6310;J1301-6310;0.66383;5.64E-14;*;*;1.458;XRS:[pb15];1.86E+05;6.19E+12;7.62E+33
2298;J1917+0834;J1917+0834;2.129665;1.75E-14;*;*;1.231;*;1.93E+06;6.18E+12;7.15E+31
2442;J0932-5327;J0932-5327;4.392159;8.37E-15;*;*;0.361;*;8.31E+06;6.14E+12;3.90E+30
1701;J0426+4933;J0426+4933;0.922475;3.93E-14;*;*;1.802;*;3.71E+05;6.10E+12;1.98E+33
925;J1738-2955;J1738-2955;0.443425;8.20E-14;*;*;3.46;*;8.57E+04;6.10E+12;3.71E+34
2439;J0111+6624;J0111+6624;4.301872;8.36E-15;*;*;2.412;*;8.15E+06;6.07E+12;4.15E+30
411;J1909+0749;J1909+0749;0.237161;1.52E-13;*;*;8.286;*;2.47E+04;6.07E+12;4.50E+35
2393;J1314-6101;J1314-6101;2.94839;1.17E-14;*;*;8.539;*;3.99E+06;5.94E+12;1.80E+31
2010;J1718-3714;J1718-3714;1.289379;2.62E-14;*;*;5.326;*;7.79E+05;5.88E+12;4.83E+32
2369;J1317-5759;J1317-5759;2.642199;1.26E-14;*;*;3.765;*;3.33E+06;5.83E+12;2.69E+31
675;J1422-6138;J1422-6138;0.340968;9.68E-14;*;*;*;GRS:3FGL_J1135.2-6054[aaa+15];5.58E+04;5.81E+12;9.64E+34
1501;J1429-5935;J1429-5935;0.763915;4.28E-14;*;*;7.685;*;2.83E+05;5.78E+12;3.79E+33
1563;B0941-56;J0942-5657;0.808164;3.96E-14;*;*;0.406;*;3.23E+05;5.73E+12;2.96E+33
1692;J1841-0500;J1841-0500;0.912916;3.48E-14;*;*;4.969;*;4.16E+05;5.70E+12;1.80E+33
1783;J1755-25211;J1755-25211;1.004513;3.12E-14;*;*;5.055;*;5.10E+05;5.67E+12;1.22E+33
608;J1412-6145;J1412-6145;0.315258;9.90E-14;*;*;7.115;*;5.04E+04;5.65E+12;1.25E+35
1262;B1844-04;J1847-0402;0.597809;5.17E-14;*;*;3.419;*;1.83E+05;5.63E+12;9.55E+33
2381;J1322-6329;J1322-6329;2.764209;1.11E-14;*;*;12.376;*;3.95E+06;5.60E+12;2.07E+31
1448;J1623-4949;J1623-4949;0.725732;4.21E-14;*;*;3.356;*;2.73E+05;5.59E+12;4.35E+33
527;J0631+1036;J0631+1036;0.2878;1.05E-13;*;*;2.105;GRS:2FGL_J0631.5+1035[naa+12];4.36E+04;5.55E+12;1.73E+35
