t,ImJy,ampPeakPIfit,dAmpPeakPIfit,phiPeakPIfit_rm2,dPhiPeakPIfit_rm2,polAngle0Chan_deg,dPolAngle0Chan_deg,polAngleChan_deg,dPolAngleChan_deg
5165061322.322122,119.564278,0.09616403405058661,0.029349063421083052,-531.602340679469,2.8809227315685733,167.21090661249127,30.27485690333587,152.69286155700684,8.744425591249284
5165061324.322875,103.355812,0.08632142947372291,0.026124312198358,-531.6214451606554,2.856776592451831,167.42878163606838,29.720810438563777,34.051849365234375,8.671208935284405
5165061326.323668,199.800568,0.08868566332590475,0.024588395854584,-531.0982597773746,2.6171391540009044,166.57356875932965,24.558753470559243,99.39875793457031,7.9586133428298265
5165061328.324422,371.386078,0.03817355775746439,0.030972321590758044,-543.2794566918819,7.6588075946176115,28.596965380221263,82.44226839211377,100.02901458740234,23.262648937904878
5165061330.325216,190.121231,0.028054906208268247,0.024314925862396742,-539.4379642123832,8.18114642672669,69.09728828027801,91.91291683741068,97.75361633300781,24.837849966327898
5165061332.32597,193.913544,0.03812291563850038,0.030580290671386845,-542.7400984014239,7.571911656081964,27.60681010600365,86.57111906055864,86.23223114013672,23.00755194108307
5165061334.326763,109.650818,0.05424400449557393,0.029188998949735326,-531.0732602184124,5.079459416763417,165.0647601680157,56.723804171027304,139.18369674682617,15.441915978752819
5165061336.327517,65.814751,0.02250733082519352,0.026636712271879023,-530.4754885501649,11.171375817415846,146.23236572016958,122.2971756853323,79.46913146972656,33.925280151093006
5165061338.328311,84.411919,0.01285988082484007,0.026913755325565857,-530.5204063836733,19.755471217940624,142.58803330379124,193.067633805693,37.3355712890625,60.001632595992994
5165061340.329064,131.095276,0.026135997114394537,0.028167868576009322,-533.084527698624,10.173372566871558,1.2771849210112123,106.17928765175913,14.770938873291016,30.90086605461737
5165061342.329858,170.410553,0.04994157611555125,0.026505340828545786,-531.667283255336,5.00980920163795,167.45911617975253,50.717924287355366,16.625328063964844,15.205301654162987
5165061344.330652,278.100098,0.05753834967795966,0.028426869917652538,-532.1210815050615,4.663604128520389,171.21125786118955,48.787349064942944,5.5706071853637695,14.158437575924715
5165061346.331406,332.934723,0.034831146256482134,0.028793430154914475,-533.5613301014619,7.803252778458211,96.99055157066323,88.38172750359682,128.6685905456543,23.68210750092162
5165061348.332199,323.218964,0.04923525136426064,0.030928950294620474,-542.6217427982208,5.929786517594086,57.02564612052174,68.48904838188649,46.385459899902344,18.016100533120426
5165061350.332953,223.660767,0.03231915233938338,0.027827109109965945,-531.8554482901777,8.127522237074286,165.33147891537737,85.1826351152894,166.39140510559082,24.66663154330245
5165061352.333747,211.910522,0.10369818995818254,0.02763827496682525,-530.8872251058945,2.51587925727598,148.70918457997413,27.33495106227202,142.20204544067383,7.655767314381059
5165061354.3345,221.553177,0.09078632899629654,0.03280642314242039,-529.4401262859157,3.4110529724070693,139.74801498199122,38.349479042679185,85.81254577636719,10.363436987919538
5165061356.335295,123.768181,0.03374544560779746,0.02941703795974152,-541.3350795964298,8.228748912864638,76.98619805799444,98.17444033046351,34.916961669921875,25.04307573528914
5165061358.336048,70.437126,0.054722993279881865,0.027881203360596785,-531.0710182451884,4.809408942321028,170.68383344059202,55.479527782568745,114.73582458496094,14.625795926877593
5165061360.336842,46.962524,0.044358978648981334,0.02731869406953302,-531.0918418806446,5.81337627327196,166.59087526057192,61.6974828452221,102.93846893310547,17.678022431058487
5165061362.337595,49.122856,0.0430144785999705,0.02926066394178792,-531.5591345071858,6.4212495827059275,166.47575752477042,64.52737796436732,59.98833084106445,19.491800000833592
5165061364.338389,56.086273,0.0403205727648455,0.027228411549291037,-531.6250803923105,6.374493030652525,164.80362715126012,64.0220190187759,61.084537506103516,19.3482832290681
5165061366.339183,81.454987,0.04399005644731487,0.030059414526220782,-531.4171102520585,6.450242395304125,166.2370517585132,68.07596399415579,127.65106201171875,19.585457691571133
5165061368.339936,103.32708,0.02375779034855247,0.02663196216500017,-531.3236931917494,10.581498062952072,167.72069045402532,107.18999907425277,19.102651596069336,32.147774409762356
5165061370.340731,138.402542,0.03518185557445266,0.030935622462752662,-532.0520848458516,8.300230532042425,166.8432316942808,93.24381054380763,92.7105484008789,25.195039958212337
5165061372.341484,93.268814,0.005640049141202678,0.027760207615993376,-524.7139904101668,46.46113971481146,68.1186481951745,521.6531278482981,74.97736358642578,141.02293096379088
5165061374.342278,80.413597,0.01324505621488719,0.029063696552327836,-536.0736644213362,20.71319442944532,7.463377475143716,229.55975330251528,178.89881467819214,63.036447299332046
5165061376.343031,86.636597,0.018159184815653394,0.03140008544408767,-530.796018976035,16.322418858426712,142.50705575373013,168.47180517494107,82.24050903320312,49.60656824485466
5165061378.343825,30.625242,0.011931692036265547,0.032084148251935805,-531.6696219665326,25.382740872010007,155.57227603086812,316.7959452977001,83.0344009399414,77.03696705791289
5165061384.346167,32.005512,0.0036779966321618045,0.02802128839649545,-516.4703140202664,71.91621297318034,166.22203272665956,646.387991154586,98.65711212158203,218.2731376420872
5165061386.34692,50.947666,0.005671061053733444,0.03273384578462152,-534.3285094010643,54.48572653855285,111.38702841553913,599.7394172970123,152.69901275634766,165.47994651397752
5165061388.347713,20.401653,0.00784994438889271,0.03024043793199961,-532.6499094276123,36.363990301396605,159.34094687714423,419.49346208490545,106.36701965332031,110.63857625462325
5165061390.348467,21.808638,0.01348598397041687,0.02982159499457123,-529.0022310831081,20.87364368873718,134.27977165383072,201.35450091168957,122.6980209350586,63.43634795039977
5165061392.349261,35.132645,0.007214536663184538,0.026225492887285762,-536.2816821389603,34.31351840307223,40.66825918097493,326.5484507518383,28.844608306884766,104.37936750714563
5165061394.350015,67.458855,0.006888507365576822,0.02976947327024959,-525.4847667860136,40.79397829965473,104.65821138596675,424.57400913029977,44.707000732421875,123.90906711089717
5165061396.350808,86.761192,0.01698102019052568,0.02468419456938546,-536.832346756808,13.721614686372638,101.92470811287876,131.63032782058943,32.086856842041016,41.64531035652615
5165061398.351562,156.259338,0.04557274449745984,0.02949852617502063,-530.9433384821984,6.110055731584229,71.49737057168204,63.7052832506985,119.92134475708008,18.591899947462824
5165061400.352356,119.049393,0.035095590359514865,0.034030974192095075,-529.4237772114677,9.15317712480926,44.831263184095405,109.92371039226953,87.14945983886719,27.79340094032039
5165061402.353109,44.597969,0.008367310701688974,0.026162137026849355,-530.4916661357664,29.514630958602563,149.57191345875617,323.47224010864085,76.08927154541016,89.63590546193302
5165061404.353903,47.013672,0.016932748331892736,0.029937535831570352,-532.4385678638022,16.689319702812597,158.9071514007419,177.35458904208448,83.71956634521484,50.72179918466552
5165061406.354657,30.592129,0.02347466981008176,0.02748802912014511,-531.9172737014977,11.053355729613129,162.50569420585998,117.19233845434114,93.10508728027344,33.54745987766677
5165061408.355451,22.10491,0.013817622452652494,0.02654590350073142,-530.3858927214553,18.134860804979542,142.90441268919767,190.46452119758388,151.13222694396973,55.05472970507173
5165061410.356244,31.511593,0.006804845385640529,0.030067892146281153,-533.8919892728928,41.70947841880233,173.56321170760202,408.3215018394849,24.608972549438477,126.6709005471231
5165061412.356998,19.514582,0.006987162206418988,0.025920789211530976,-527.321322016515,35.01849134972237,106.91617902566486,380.35476178779356,131.2665672302246,106.41414005390469
5165061422.360887,17.229948,0.008556356051296416,0.0336578966706301,-529.7575414715403,37.13198459797552,139.68879093463056,357.58115637302706,115.34103393554688,112.72915598723516
5165061424.36164,12.013492,0.012188353445976264,0.03535595956927815,-532.8229462875483,27.382155099294952,6.445724145875829,310.9654890001192,25.706819534301758,83.16655368778495
5165061428.363228,6.986482,0.0037374142832755377,0.03346310110852388,-539.9788866370947,84.51717685841157,91.49252315867307,847.015711246974,97.59285736083984,256.66715503529514
