tindex,t,IJy,ampPeakPIfit,dAmpPeakPIfit,phiPeakPIfit_rm2,dPhiPeakPIfit_rm2,polAngle0Chan_deg,dPolAngle0Chan_deg,polAngleChan_deg,dPolAngleChan_deg,fracPol,alpha,alphaerr
437,5165061390.348467,0.034393,0.013247,0.000911,-531.205443,0.649458,166.183516,6.817612,165.840233,1.973745,0.383054,-1.987365,0.432456
438,5165061392.349261,0.059846,0.003945,0.000943,-545.712910,2.255516,110.662835,24.295770,154.159576,6.845491,0.065913,-2.427532,0.269389
439,5165061394.350015,0.086383,0.009800,0.000933,-529.104240,0.898571,141.188469,9.618003,60.950916,2.732060,0.112255,-2.291468,0.181864
440,5165061396.350808,0.119156,0.028408,0.000918,-529.875451,0.304893,51.897992,3.214725,35.456871,0.925477,0.238122,-2.075287,0.126754
441,5165061398.351562,0.233262,0.048690,0.000968,-531.486569,0.187573,69.718606,2.061562,137.423527,0.569485,0.208638,-2.776201,0.074106
442,5165061400.352356,0.118395,0.007713,0.000971,-531.999806,1.187912,56.129096,13.083236,108.790825,3.605573,0.063949,-2.819759,0.147325
444,5165061404.353903,0.060212,0.016225,0.000924,-532.174380,0.537323,158.560518,5.697318,91.045906,1.631413,0.268462,-2.160706,0.254703
445,5165061406.354657,0.033062,0.021192,0.000859,-531.086309,0.382536,164.473834,3.805470,127.621357,1.163330,0.639769,-1.196962,0.400243
446,5165061408.355451,0.039096,0.009745,0.000949,-533.260558,0.918844,172.601250,9.948534,135.552971,2.789368,0.246520,-2.511430,0.419173
447,5165061410.356244,0.037217,0.006804,0.000863,-531.135474,1.196953,163.549451,11.961409,100.538933,3.640174,0.179393,-1.258864,0.358280
448,5165061412.356998,0.036441,0.005199,0.000949,-526.399135,1.723841,109.766300,18.673958,143.392212,5.232324,0.137077,-2.522925,0.450723
449,5165061414.357792,0.036667,0.003074,0.000900,-536.423692,2.762320,60.070625,28.673517,73.846092,8.394341,0.083839,-1.816643,0.394217
450,5165061416.358545,0.042631,0.003888,0.000985,2754.609646,2.390552,43.122937,26.644320,106.701286,7.267969,0.091191,-3.013957,0.426221
451,5165061418.359339,0.029004,0.003149,0.000931,-533.707164,2.792613,19.839639,29.804776,71.442696,8.476002,0.108559,-2.272516,0.539739
452,5165061420.360093,0.027634,0.003141,0.000926,-533.599187,2.782100,0.091978,29.545118,82.166702,8.443573,0.113672,-2.192366,0.558169
453,5165061422.360887,0.032162,0.010823,0.000916,-529.931858,0.799313,141.697247,8.418875,131.122013,2.426015,0.333740,-2.060114,0.468351
454,5165061424.361640,0.029858,0.005669,0.000952,-529.645616,1.585731,144.446062,17.224706,125.393681,4.814514,0.183618,-2.565321,0.554745
455,5165061426.362434,0.023728,0.002878,0.000913,60.014758,2.993050,54.964905,31.412431,147.747288,9.084832,0.121286,-2.003249,0.628555
456,5165061428.363228,0.026782,0.002957,0.000939,-538.833425,2.996378,85.148238,32.174376,43.300606,9.094456,0.110415,-2.373406,0.595745
457,5165061430.363981,0.027602,0.003436,0.000949,37.423752,2.607480,166.107489,28.258831,37.768684,7.918633,0.124502,-2.521416,0.594893
458,5165061432.364776,0.030382,0.003901,0.000961,-52.088760,2.326150,163.231207,25.448577,136.031254,7.063372,0.128402,-2.689942,0.559002
459,5165061434.365529,0.024591,0.003512,0.000923,2215.061128,2.480419,55.275774,26.273689,162.178162,7.527893,0.142822,-2.151138,0.622555
460,5165061436.366323,0.028301,0.003487,0.000969,-3142.490666,2.623613,102.990165,28.862292,93.083214,7.962674,0.123217,-2.799805,0.613786
461,5165061438.367076,0.026364,0.003257,0.000942,-549.009985,2.729027,40.707615,29.373623,51.735935,8.282291,0.123542,-2.415076,0.610038
462,5165061440.367870,0.028374,0.003958,0.000962,-51.124817,2.295516,159.301468,25.139826,131.584515,6.971811,0.139481,-2.705088,0.600406
463,5165061442.368624,0.026195,0.003002,0.000954,512.468748,2.999513,19.138387,32.625382,38.077484,9.107899,0.114605,-2.587039,0.635037
464,5165061444.369417,0.028246,0.004105,0.000964,-36.582097,2.216004,175.849181,24.289909,137.995396,6.729048,0.145344,-2.724060,0.605464
465,5165061446.370171,0.025870,0.003360,0.000941,-2556.161264,2.644907,30.145253,28.478221,154.524345,8.031096,0.129880,-2.412386,0.621369
466,5165061448.370965,0.027022,0.003724,0.000941,-2154.054113,2.386393,46.435697,25.728006,0.901183,7.255589,0.137811,-2.412208,0.594863
467,5165061450.371718,0.029196,0.003218,0.000950,-1637.771812,2.785336,30.013592,30.206312,31.513430,8.462252,0.110224,-2.525717,0.562885
468,5165061452.372512,0.028989,0.003952,0.000964,-1605.463197,2.301435,54.610932,25.212880,20.910183,6.985605,0.136339,-2.721813,0.589670
469,5165061454.373306,0.024001,0.003216,0.000934,-859.642210,2.740756,54.168635,29.326362,27.192869,8.324712,0.133978,-2.302661,0.655934
470,5165061456.374060,0.027498,0.003714,0.000952,-2885.922871,2.418784,26.903808,26.254054,79.624466,7.342312,0.135072,-2.555831,0.601217
471,5165061458.374853,0.025358,0.003644,0.000931,791.528114,2.410848,35.267895,25.711235,39.201962,7.317096,0.143700,-2.260774,0.615990
472,5165061460.375607,0.026960,0.003309,0.000939,-440.640820,2.679706,48.981086,28.786636,161.047237,8.132689,0.122729,-2.382043,0.592791
473,5165061462.376401,0.026266,0.003347,0.000949,2057.411534,2.675685,80.118529,29.013337,108.890717,8.134053,0.127418,-2.512916,0.624107
474,5165061464.377154,0.028324,0.003446,0.000969,1014.551692,2.653935,24.745780,29.240992,89.437378,8.069391,0.121662,-2.794688,0.612626
475,5165061466.377948,0.024612,0.002847,0.000932,608.660441,3.091140,47.262180,33.032448,90.008232,9.388440,0.115660,-2.282079,0.637185
476,5165061468.378702,0.025998,0.003321,0.000935,-1521.137303,2.657023,126.976531,28.443548,177.305499,8.065421,0.127755,-2.320502,0.607574
477,5165061470.379496,0.026743,0.003522,0.000949,1577.054729,2.543985,116.961953,27.587922,157.802973,7.730314,0.131715,-2.522129,0.614084
478,5165061472.380289,0.028189,0.003498,0.000969,-3034.947701,2.614247,101.323655,28.813907,42.603397,7.952010,0.124091,-2.793583,0.615425
479,5165061474.381043,0.026394,0.004133,0.000958,-2687.106401,2.187858,136.960788,23.870869,51.015049,6.643618,0.156571,-2.641025,0.637120
480,5165061476.381837,0.027872,0.003530,0.000953,-2584.632206,2.548493,36.224924,27.700884,97.166283,7.738480,0.126657,-2.574937,0.595397
481,5165061478.382590,0.025565,0.003403,0.000935,-113.923133,2.592561,98.908000,27.749915,140.158710,7.871314,0.133095,-2.315066,0.617235
